Hawaii Nonprofit Name,EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
AHA KANE-FOUNDATION FOR THE ADVANCEMENT OF NATIVE HAWAIIAN MAL,270502942,AHA KANE-FOUNDATION FOR THE ADVANCEMENT OF NATIVE HAWAIIAN MAL,% KAMANAOPONO CRABBE,677 ALA MOANA BLVD STE 1015,HONOLULU,HI,96813-5415,0.0,3.0,3.0,1000.0,200909.0,1.0,15.0,0.0,1.0,1.0,202312.0,4.0,5.0,1.0,0.0,12.0,205093.0,580008.0,580008.0,B90,
AHAHUI O KAUKA ASSOCIATION OF NATIVE HAWAIIAN PHYSICIANS,990337991,AHAHUI O KAUKA ASSOCIATION OF NATIVE HAWAIIAN PHYSICIANS,% PAPA OLA LOKAHI,677 ALA MOANA BLVD STE 1015,HONOLULU,HI,96813-5415,0.0,3.0,3.0,2000.0,199902.0,1.0,15.0,0.0,1.0,1.0,202412.0,4.0,3.0,1.0,0.0,12.0,109294.0,94088.0,94088.0,G03,
AHARO HAWAII,472848796,AHARO HAWAII,% RICHARD P BETTINI,CO 86-260 FARRINGTON HIGHWAY,WAIANAE,HI,96792-0000,0.0,3.0,3.0,1000.0,201703.0,1.0,15.0,0.0,1.0,1.0,202312.0,5.0,5.0,1.0,0.0,12.0,907393.0,839626.0,839626.0,P20,
AI PONO OF HAWAII FOUNDATION,932218704,AI PONO OF HAWAII FOUNDATION,% AI PONO OF HAWAII FTD,16-643 KIPIMANA ST STE 20,KEAAU,HI,96749-8002,0.0,3.0,3.0,1200.0,202307.0,1.0,15.0,0.0,1.0,1.0,202312.0,3.0,1.0,2.0,0.0,12.0,28458.0,1142.0,1142.0,F53,
AKAMAI SENIORS,932725255,AKAMAI SENIORS,% EDWARD MOTOSUE,1311 KAPIOLANI BLVD STE 508,HONOLULU,HI,96814-4558,0.0,3.0,3.0,1200.0,202312.0,1.0,15.0,0.0,1.0,1.0,202412.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,E80,
ALANA DUNG RESEARCH FOUNDATION,990333165,ALANA DUNG RESEARCH FOUNDATION,% ADELIA DUNG,3468 WAIALAE AVE STE 222,HONOLULU,HI,96816-2694,0.0,3.0,3.0,1000.0,199807.0,1.0,15.0,994161000.0,1.0,1.0,202312.0,5.0,4.0,1.0,0.0,12.0,758295.0,145811.0,112320.0,H99,
ALANO CLUB OF LAHAINA INC,990271794,ALANO CLUB OF LAHAINA INC,,PO BOX 10911,LAHAINA,HI,96761-0911,0.0,3.0,3.0,1000.0,199611.0,1.0,15.0,995319000.0,1.0,1.0,202312.0,5.0,4.0,1.0,0.0,12.0,641275.0,300770.0,88050.0,P60,
ALBERT AND BETTY OTA CHILDRENS FOUNDATION,270492699,ALBERT AND BETTY OTA CHILDRENS FOUNDATION,% SANFORD T OTA,PO BOX 310,AIEA,HI,96701-0310,0.0,3.0,3.0,1200.0,200910.0,1.0,4.0,0.0,1.0,1.0,202406.0,1.0,3.0,0.0,1.0,6.0,4204.0,30000.0,,T22,
ALII COMMUNITY CARE INCORPORATED,260318372,ALII COMMUNITY CARE INCORPORATED,% CLIFFORD SUR,3675 KILAUEA AVE,HONOLULU,HI,96816-2333,0.0,3.0,3.0,1000.0,200305.0,1.0,16.0,0.0,1.0,1.0,,0.0,0.0,14.0,0.0,6.0,,,,P75,ALII HEALTH CENTER
ALII HEALTH CENTER,260318372,ALII COMMUNITY CARE INCORPORATED,% CLIFFORD SUR,3675 KILAUEA AVE,HONOLULU,HI,96816-2333,0.0,3.0,3.0,1000.0,200305.0,1.0,16.0,0.0,1.0,1.0,,0.0,0.0,14.0,0.0,6.0,,,,P75,ALII HEALTH CENTER
ALL EARS HAWAII,872618310,ALL EARS HAWAII,% CYNTHIA WELTI,255 KAMOKILA RD,KAPAA,HI,96746-1219,0.0,3.0,3.0,1000.0,202201.0,1.0,16.0,0.0,1.0,1.0,202412.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,F60,
ALOHA AINA WELLNESS CENTER INC,465240550,ALOHA AINA WELLNESS CENTER INC,% MARY DRESSLER,GENERAL DELIVERY,KEAAU,HI,96749-9999,0.0,3.0,3.0,1237.0,202410.0,1.0,15.0,0.0,1.0,1.0,,0.0,0.0,2.0,0.0,12.0,,,,E60,
ALOHA BEHAVIORAL HEALTH AND HOME CARE SERVICES,863030217,ALOHA BEHAVIORAL HEALTH AND HOME CARE SERVICES,,64-5193 KINOHOU STREET,KAMUELA,HI,96743-8446,0.0,3.0,3.0,1270.0,202309.0,1.0,15.0,0.0,1.0,1.0,,0.0,0.0,2.0,0.0,12.0,,,,E92,ALOHA TLC HOME CARE
ALOHA CLEAN EARTH FUND,383677028,ALOHA CLEAN EARTH FUND,% CLIFFORD H CLARKE,72-3996 HAWAII BELT RD,KAILUA KONA,HI,96740-8608,0.0,3.0,3.0,2100.0,200403.0,1.0,15.0,0.0,1.0,1.0,202412.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,E99,
ALOHA FOUNDATION,161365260,ALOHA FOUNDATION,% MICHAEL G BUCK,41-563 WAIKUPANAHA PL,WAIMANALO,HI,96795-1440,0.0,3.0,3.0,1000.0,199004.0,1.0,4.0,0.0,5.0,1.0,202412.0,5.0,4.0,0.0,1.0,12.0,643652.0,375885.0,,,
ALOHA HEALTH COLLECTIVE,813611510,ALOHA HEALTH COLLECTIVE,,1188 BISHOP ST STE 2608,HONOLULU,HI,96813-3311,0.0,3.0,3.0,1000.0,201608.0,1.0,15.0,0.0,1.0,1.0,202312.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,,
ALOHA HOUSE INC,990173804,ALOHA HOUSE INC,,200 IKE DR,MAKAWAO,HI,96768-9718,0.0,3.0,3.0,1000.0,197709.0,1.0,15.0,179573399.0,1.0,1.0,202406.0,8.0,8.0,1.0,0.0,6.0,15131024.0,21263064.0,11348599.0,,
ALOHA INTERNATIONAL MISSION,453797686,ALOHA INTERNATIONAL MISSION,% MONA SUZUKI,PO BOX 822284,PEARL CITY,HI,96782-0495,0.0,3.0,3.0,1000.0,201207.0,1.0,15.0,0.0,1.0,1.0,202312.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,E99,
ALOHA LEO INC,883368813,ALOHA LEO INC,,5305 AIA PL,LAHAINA,HI,96761-9001,0.0,3.0,3.0,1000.0,202302.0,1.0,15.0,0.0,1.0,1.0,202312.0,1.0,0.0,2.0,0.0,12.0,1.0,0.0,0.0,G84,
ALOHA PREGNANCY CARE & COUNSELING CENTER INC,990344664,ALOHA PREGNANCY CARE & COUNSELING CENTER INC,,45-1151 KAMEHAMEHA HWY,KANEOHE,HI,96744-3224,0.0,3.0,3.0,1000.0,202201.0,1.0,15.0,0.0,1.0,1.0,202412.0,4.0,4.0,1.0,0.0,12.0,133654.0,106892.0,106892.0,E400,
ALOHA IN ACTION INC,451027317,ALOHA IN ACTION INC,,PO BOX 658,KULA,HI,96790-0658,0.0,3.0,3.0,1000.0,201307.0,1.0,15.0,0.0,1.0,1.0,202312.0,4.0,4.0,1.0,0.0,12.0,252185.0,382540.0,382540.0,Q33,
ALOHACARE,990309519,ALOHACARE,,1357 KAPIOLANI BLVD STE G101,HONOLULU,HI,96814-4550,0.0,4.0,3.0,3000.0,199511.0,2.0,0.0,164000000.0,1.0,1.0,202312.0,9.0,9.0,1.0,0.0,12.0,180384185.0,474840516.0,468337594.0,,
ALZHEIMERS CAREGIVING & THE CAREGIVERS,922407091,ALZHEIMERS CAREGIVING & THE CAREGIVERS,% ANTHONY VERICELLA,1909 ALA WAI BLVD APT 1603,HONOLULU,HI,96815-1805,0.0,3.0,3.0,1000.0,202303.0,1.0,15.0,0.0,1.0,1.0,202412.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,G83,
AMER CTR FOR INTEGRATION OF SPIRIT- UALLY TRANSFORMATIVE EXPERIENCES,800288722,AMER CTR FOR INTEGRATION OF SPIRIT- UALLY TRANSFORMATIVE EXPERIENCES,% YOLAINE STOUT,1254 S KIHEI RD UNIT 1275,KIHEI,HI,96753-4052,0.0,3.0,3.0,1000.0,200912.0,1.0,15.0,0.0,1.0,1.0,202112.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,F60,
AMERICAN ACADEMY OF PEDIATRICS HAWAII CHAPTER INC,990226184,AMERICAN ACADEMY OF PEDIATRICS HAWAII CHAPTER INC,,1319 PUNAHOU ST FL 7TH,HONOLULU,HI,96826-1072,0.0,3.0,3.0,2000.0,202003.0,1.0,15.0,205000000.0,1.0,1.0,202312.0,5.0,4.0,1.0,0.0,12.0,540254.0,125310.0,125310.0,S03,
AMERICAN COLLEGE OF DENTISTS,521384788,AMERICAN COLLEGE OF DENTISTS,% KENT H NAKAMARU,3221 WAIALAE AVE,HONOLULU,HI,96816-5842,3217.0,6.0,9.0,1000.0,198506.0,2.0,0.0,124000000.0,5.0,1.0,202412.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,,HAWAII SECTION
AMERICAN SOCIETY FOR CLINICAL LABORATORY SCIENCE,996009939,AMERICAN SOCIETY FOR CLINICAL LABORATORY SCIENCE,% LYNN NAKAHARA,94-1041 KOLIANA ST,WAIPAHU,HI,96797-4310,2104.0,6.0,9.0,2000.0,197010.0,2.0,0.0,59602179.0,5.0,1.0,202406.0,4.0,4.0,1.0,0.0,6.0,240781.0,104803.0,91845.0,,ASCLS-HAWAII
ANCIENT & ACCEPTED SCOTTISH RITE OF FREE MASONRY SOTHERN JURISDICTION,990082455,ANCIENT & ACCEPTED SCOTTISH RITE OF FREE MASONRY SOTHERN JURISDICTION,% S R CATHERDRAL,1611 KEWALO ST,HONOLULU,HI,96822-3134,95.0,10.0,9.0,1000.0,194009.0,1.0,0.0,30059902.0,5.0,1.0,202312.0,5.0,5.0,1.0,0.0,12.0,650853.0,968219.0,223759.0,,HONOLULU SCOTTISH RITE BODIES
ANDY IRONS FOUNDATION,821010303,ANDY IRONS FOUNDATION,,PO BOX 223842,PRINCEVILLE,HI,96722-3842,0.0,3.0,3.0,1000.0,202104.0,1.0,15.0,0.0,1.0,1.0,202312.0,4.0,3.0,1.0,0.0,12.0,136674.0,68908.0,68908.0,F80,
ANNIE H PARKE TRUST,996003193,ANNIE H PARKE TRUST,% HAWAIIN TRUST CO LTD,PO BOX 3170,HONOLULU,HI,96802-3170,0.0,3.0,3.0,1000.0,197210.0,1.0,4.0,909000000.0,1.0,1.0,202409.0,6.0,5.0,0.0,1.0,9.0,1987334.0,684074.0,,,
ANTONE AND EDENE VIDINHA TRUST,990273993,ANTONE AND EDENE VIDINHA TRUST,% BANK OF HAWAII,PO BOX 3170,HONOLULU,HI,96802-3170,0.0,3.0,3.0,1000.0,198911.0,1.0,4.0,0.0,2.0,1.0,202406.0,7.0,6.0,0.0,1.0,6.0,6412484.0,2020596.0,,,
ARCADIA HOME HEALTH SERVICES,200411818,ARCADIA HOME HEALTH SERVICES,% EMMET WHITE,1434 PUNAHOU ST,HONOLULU,HI,96822-4701,0.0,3.0,3.0,1000.0,200503.0,1.0,16.0,0.0,1.0,1.0,202312.0,5.0,6.0,1.0,0.0,12.0,612460.0,3795897.0,3795897.0,P44,
ARTHUR H ABERNETHY TR,943275323,ARTHUR H ABERNETHY TR,% PACIFIC CENTURY TRUST,PO BOX 3170,HONOLULU,HI,96802-3170,0.0,3.0,3.0,1000.0,199803.0,1.0,4.0,602000000.0,2.0,1.0,202403.0,5.0,3.0,0.0,1.0,3.0,677021.0,89131.0,,T70Z,
ASSOCIATION FOR HAWAIIAN AWA,990335351,ASSOCIATION FOR HAWAIIAN AWA,% EDWARD JOHNSTON,PO BOX 636,PEPEEKEO,HI,96783-0636,0.0,3.0,3.0,1000.0,199808.0,1.0,15.0,994199000.0,1.0,1.0,202412.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,H99,
ASSOCIATION FOR PROFESSIONALS IN INFECTION CONTROL CHAPTER 39,042636763,ASSOCIATION FOR PROFESSIONALS IN INFECTION CONTROL CHAPTER 39,,190 KILANI AVE,WAHIAWA,HI,96786-1520,0.0,3.0,3.0,1200.0,202401.0,1.0,15.0,995263059.0,5.0,1.0,202412.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,,
ASSOCIATION FOR VASCULAR ACCESS,261817567,ASSOCIATION FOR VASCULAR ACCESS,% SCOTT GILBERT,46-034 PUULENA ST APT 712,KANEOHE,HI,96744-3737,5627.0,6.0,9.0,1000.0,201001.0,2.0,0.0,0.0,5.0,1.0,202312.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,G039,ALOHAVAN
ASSOCIATION FOR THE PREVENTION OF LIFESTYLE-RELATED DISEASES,861139861,ASSOCIATION FOR THE PREVENTION OF LIFESTYLE-RELATED DISEASES,% SADAO SUZUKI,745 FORT STREET SUITE 700,HONOLULU,HI,96813-3814,0.0,3.0,3.0,1000.0,201504.0,1.0,15.0,0.0,1.0,1.0,202212.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,H05,
ASSOCIATION OF OPERATING ROOM NURSES INC,990315918,ASSOCIATION OF OPERATING ROOM NURSES INC,% LORI CLIFTON BSN RN CNOR CRNFA,45-533A HALEKOU ROAD,KANEOHE,HI,96744-0000,7172.0,6.0,9.0,2000.0,196905.0,2.0,0.0,201000000.0,1.0,1.0,202403.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,,1201 HAWAII
ATHERTON FAMILY FOUNDATION,510175971,ATHERTON FAMILY FOUNDATION,% BANK OF HAWAII,PO BOX 3170,HONOLULU,HI,96802-3170,0.0,3.0,3.0,1000.0,197512.0,1.0,4.0,40602000.0,1.0,1.0,202312.0,9.0,8.0,0.0,1.0,12.0,90744784.0,11498251.0,,,
ATLAS MRKH,332611090,ATLAS MRKH,% FRANCESCA WEAVER-CHANEY,64-5009 MANA RD,KAMUELA,HI,96743-7919,0.0,3.0,3.0,1000.0,202501.0,1.0,15.0,0.0,5.0,1.0,,0.0,0.0,2.0,0.0,12.0,,,,G12,
AUTISM BRIDGES MAUI,311645864,AUTISM BRIDGES MAUI,% MINDY MCCONNELL,115 ALOHI PL,MAKAWAO,HI,96768-8707,0.0,3.0,3.0,1000.0,201404.0,1.0,15.0,0.0,1.0,1.0,202406.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,G84,
AVA SOFIA FOUNDATION,863944939,AVA SOFIA FOUNDATION,,75-5788 NIAU PL,KAILUA KONA,HI,96740-2032,0.0,3.0,3.0,1200.0,202303.0,1.0,15.0,0.0,1.0,1.0,202312.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,G84,
AWAKE TOMORROW,872109123,AWAKE TOMORROW,% MATTHEW VAZZANO,66 471 PIKAI STREET,HALEIWA,HI,96712-1825,0.0,3.0,3.0,1000.0,202201.0,1.0,15.0,0.0,1.0,1.0,202412.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,F21,
BANK OF HAWAII FOUNDATION,990210467,BANK OF HAWAII FOUNDATION,% BANK OF HAWAII DEPT 715,PO BOX 3170,HONOLULU,HI,96802-3170,0.0,3.0,3.0,1000.0,201408.0,1.0,4.0,600602000.0,1.0,1.0,202312.0,6.0,4.0,0.0,1.0,12.0,2804989.0,491242.0,,T20,
BARRIOCARE FOUNDATION INC,161538738,BARRIOCARE FOUNDATION INC,,4766 KAHALA AVE,HONOLULU,HI,96816-5243,0.0,3.0,3.0,1000.0,199801.0,1.0,4.0,602000000.0,1.0,1.0,202312.0,4.0,2.0,0.0,1.0,12.0,302619.0,22695.0,,I20Z,
BAYADA HOME CARE,473268151,BAYADA HOME CARE,% BOB BRIGLIA,615 PIIKOI ST STE 600,HONOLULU,HI,96814-3176,0.0,3.0,3.0,1000.0,201509.0,1.0,16.0,0.0,1.0,1.0,202312.0,8.0,8.0,1.0,0.0,12.0,16343098.0,42689456.0,42689456.0,E92,
BAYANIHAN CLINIC WITHOUT WALLS INC,990339584,BAYANIHAN CLINIC WITHOUT WALLS INC,% SORBELLA GUILLERMO,1619 LILIHA ST,HONOLULU,HI,96817-3102,0.0,3.0,3.0,1000.0,199812.0,1.0,16.0,0.0,1.0,1.0,202412.0,2.0,0.0,2.0,0.0,12.0,23532.0,0.0,0.0,E30,
BEGIN WITHIN COLLECTIVE,871092876,BEGIN WITHIN COLLECTIVE,% MOLLY STIENS,PO BOX 4002,KAHULUI,HI,96733-4002,0.0,3.0,3.0,1200.0,202111.0,1.0,16.0,0.0,1.0,1.0,202407.0,0.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,E32,
BEHAVIOR AND EDUCATION CENTER OF HAWAII,NOT FOUND,,,,,,,,,,,,,,,,,,,,,,,,,,,
BELLINI FOUNDATION,942768903,BELLINI FOUNDATION,% BIRENDRA K JAYSWAL,131 KUALAPA PL,LAHAINA,HI,96761-2902,0.0,3.0,3.0,1000.0,198110.0,1.0,4.0,602000000.0,1.0,1.0,202406.0,7.0,4.0,0.0,1.0,6.0,5687848.0,359860.0,,,
BEN AND MIRIAM LAU FOUNDATION,010629526,BEN AND MIRIAM LAU FOUNDATION,% RICHARD C WO,PO BOX 893134,MILILANI,HI,96789-0134,0.0,3.0,3.0,1000.0,200210.0,1.0,4.0,0.0,1.0,1.0,202312.0,6.0,6.0,0.0,1.0,12.0,2830315.0,2355525.0,,T20,
BEST LIFE OHANA OF MAUI,921556023,BEST LIFE OHANA OF MAUI,% ORALEA STARR,PO BOX 1236,MAKAWAO,HI,96768-1236,0.0,3.0,3.0,1200.0,202303.0,1.0,15.0,0.0,1.0,1.0,,0.0,0.0,1.0,0.0,12.0,,,,E60,
BIG BROTHERS BIG SISTERS HAWAII INC,990109970,BIG BROTHERS BIG SISTERS HAWAII INC,,771 AMANA STREET SUITE 301,HONOLULU,HI,96814-3238,0.0,3.0,3.0,1000.0,196602.0,1.0,15.0,328000000.0,1.0,1.0,202312.0,6.0,6.0,1.0,0.0,12.0,3410728.0,1838943.0,1838943.0,,
BIG ISLAND COALITION AGAINST PHYSICAL AND SEXUAL ASSAULT,990349466,BIG ISLAND COALITION AGAINST PHYSICAL AND SEXUAL ASSAULT,% DEBORAH CHAI,PO BOX 884,KEALAKEKUA,HI,96750-0884,0.0,3.0,3.0,1000.0,200210.0,1.0,9.0,0.0,1.0,1.0,202209.0,0.0,0.0,2.0,0.0,9.0,0.0,0.0,0.0,B99,
BIG ISLAND RESIDENTIAL INC,311587616,BIG ISLAND RESIDENTIAL INC,,680 IWILEI RD STE 600,HONOLULU,HI,96817-5393,0.0,3.0,3.0,1000.0,199803.0,1.0,15.0,995399000.0,1.0,1.0,202309.0,4.0,3.0,1.0,0.0,9.0,384674.0,56517.0,56517.0,P80,
BIG ISLAND SUBSTANCE ABUSE COUNCIL,990118043,BIG ISLAND SUBSTANCE ABUSE COUNCIL,,16-179 MELEKAHIWA ST,KEAAU,HI,96749-8017,0.0,3.0,3.0,1200.0,197204.0,1.0,15.0,573149000.0,1.0,1.0,202306.0,6.0,6.0,1.0,0.0,6.0,2333442.0,4153772.0,4152342.0,,
BIG ISLAND WELLNESS SOLUTIONS,270640927,BIG ISLAND WELLNESS SOLUTIONS,% JIM WILSON,615 HAIHAI ST,HILO,HI,96720-5513,0.0,3.0,3.0,1000.0,201003.0,1.0,15.0,0.0,1.0,1.0,202412.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,K40,
BLOOD BANK REAL PROPERTY INC,990323347,BLOOD BANK REAL PROPERTY INC,,2043 DILLINGHAM BLVD,HONOLULU,HI,96819-4024,0.0,3.0,3.0,1000.0,199608.0,1.0,17.0,156000000.0,1.0,1.0,202309.0,6.0,4.0,1.0,0.0,9.0,4506868.0,172476.0,172476.0,E61Z,
BLOOD BANK OF HAWAII,990073479,BLOOD BANK OF HAWAII,,2043 DILLINGHAM BLVD,HONOLULU,HI,96819-4024,0.0,3.0,3.0,8000.0,194903.0,1.0,16.0,179000000.0,1.0,1.0,202309.0,8.0,8.0,1.0,0.0,9.0,29662202.0,28837804.0,22387475.0,,
BLUE LOTUS INC,NOT FOUND,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOBBY BENSON CENTER,990243991,BOBBY BENSON CENTER,,56-660 KAMEHAMEHA HWY,KAHUKU,HI,96731-2210,0.0,3.0,3.0,1000.0,198603.0,1.0,15.0,573000000.0,1.0,1.0,202406.0,6.0,6.0,1.0,0.0,6.0,4399166.0,3299952.0,3295526.0,T22Z,
BRAIN HEALTH APPLIED RESEARCH INSTITUTE,922811311,BRAIN HEALTH APPLIED RESEARCH INSTITUTE,,180 FOREST RIDGE WAY,HONOLULU,HI,96822-5002,0.0,3.0,3.0,2800.0,202309.0,1.0,16.0,0.0,1.0,1.0,202412.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,H96,
BRAIN INJURY ASSOCIATION OF HAWAII,943275710,BRAIN INJURY ASSOCIATION OF HAWAII,% LYNA BURIAN,1221 KAPIOLANI BOULEVARD,HONOLULU,HI,96814-3503,0.0,3.0,3.0,1200.0,199710.0,1.0,16.0,125000000.0,1.0,1.0,202412.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,G48Z,
BREAST CANCER HAWAII INC,825348737,BREAST CANCER HAWAII INC,% JOANNE HAYASHI,1050 QUEEN ST STE 100,HONOLULU,HI,96814-4130,0.0,3.0,3.0,2000.0,201809.0,1.0,16.0,0.0,1.0,1.0,202412.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,B01,
BREASTFEEDING HAWAII,611636900,BREASTFEEDING HAWAII,% LEA MINTON,PO BOX 4270,KANEOHE,HI,96744-8270,0.0,3.0,3.0,2000.0,201305.0,1.0,15.0,0.0,1.0,1.0,202312.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,E42,
BRIAN'S HALE INC,NOT FOUND,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRIDGE HOUSE INC,990293418,BRIDGE HOUSE INC,,PO BOX 2489,KAILUA KONA,HI,96745-2489,0.0,3.0,3.0,1000.0,199204.0,1.0,12.0,573000000.0,1.0,1.0,202406.0,6.0,6.0,1.0,0.0,6.0,2265357.0,1411645.0,1411645.0,F22Z,
C N WODEHOUSE AMERICAN CANCER SOCIETY TRUST,990301430,C N WODEHOUSE AMERICAN CANCER SOCIETY TRUST,% HAWAIIAN TR CO LTD,PO BOX 3170,HONOLULU,HI,96802-3170,0.0,3.0,3.0,1000.0,200401.0,1.0,17.0,602000000.0,2.0,1.0,202407.0,6.0,5.0,1.0,0.0,7.0,2672683.0,572911.0,192865.0,,
CAREGIVER FOUNDATION,262548300,CAREGIVER FOUNDATION,% GARY A POWELL,926 3RD ST,PEARL CITY,HI,96782-3348,0.0,3.0,3.0,1000.0,201403.0,1.0,15.0,0.0,1.0,1.0,202312.0,6.0,6.0,1.0,0.0,12.0,2831452.0,1835357.0,1261975.0,P20,
CAMP ANUENUE CORPORATION,NOT FOUND,,,,,,,,,,,,,,,,,,,,,,,,,,,
CANCER KIDS OF HAWAII INC,471240553,CANCER KIDS OF HAWAII INC,,58 W KANAMELE LOOP,WAILUKU,HI,96793-8311,0.0,3.0,3.0,1000.0,201408.0,1.0,15.0,0.0,1.0,1.0,202212.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,G99,
