Health Center Type,Health Center Number,BHCMIS Organization Identification Number,BPHC Assigned Number,Site Name,Site Address,Site City,Site State Abbreviation,Site Postal Code,Site Telephone Number,Site Web Address,Operating Hours per Week,Health Center Location Setting Identification Number,Health Center Service Delivery Site Location Setting Description,Health Center Status Identification Number,Site Status Description,FQHC Site Medicare Billing Number,FQHC Site NPI Number,Health Center Location Identification Number,Health Center Location Type Description,Health Center Type Identification Number,Health Center Type Description,Health Center Operator Identification Number,Health Center Operator Description,Health Center Operating Schedule Identification Number,Health Center Operational Schedule Description,Health Center Operating Calendar Surrogate Key,Health Center Operating Calendar,Site Added to Scope this Date,Health Center Name,Health Center Organization Street Address,Health Center Organization City,Health Center Organization State,Health Center Organization ZIP Code,Grantee Organization Type Description,Geocoding Artifact Address Primary X Coordinate,Geocoding Artifact Address Primary Y Coordinate,U.S. - Mexico Border 100 Kilometer Indicator,U.S. - Mexico Border County Indicator,State and County Federal Information Processing Standard Code,Complete County Name,County Equivalent Name,County Description,HHS Region Code,HHS Region Name,State FIPS Code,State Name,State FIPS and Congressional District Number Code,Congressional District Number,Congressional District Name,Congressional District Code,U.S. Congressional Representative Name,Name of U.S. Senator Number One,Name of U.S. Senator Number Two,Data Warehouse Record Create Date,Unnamed: 55
Federally Qualified Health Center (FQHC),H80CS00451,092160,BPS-H80-036824,Hamakua-Kohala Health in Kapaau,54-3793 Akoni Pule Hwy,Kapaau,HI,96755,808-930-2734,,40.0,7,All Other Clinic Types,1,Active,,,1,Permanent,3,Administrative/Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,06/02/2023,"HAMAKUA HEALTH CENTER, INC",45-549 Plumeria St,Honokaa,HI,96727-6902,"Corporate Entity, Federal Tax Exempt",-155.80602638,20.23211023,N,N,15001,Hawaii County,Hawaii,County            ,09,Region 9,15,Hawaii,1502,2,Hawaii District 02,HI-02,Jill N. Tokuda,Brian Schatz,Mazie K. Hirono,06/14/2025,
Federally Qualified Health Center (FQHC),H80CS00053,092060,BPS-H80-036699,Waikiki Health PanAm,1600 Kapiolani Blvd STE 1401&AMP1404,Honolulu,HI,96814-3714,808-922-4787,https://waikikihc.org/,,7,All Other Clinic Types,1,Active,,,1,Permanent,1,Administrative,1,Health Center/Applicant,0,Unknown,0,Unknown,05/16/2023,WAIKIKI HEALTH,277 Ohua Ave,Honolulu,HI,96815-6612,"Corporate Entity, Federal Tax Exempt",-157.83934351,21.29171124,N,N,15003,Honolulu County,Honolulu,County            ,09,Region 9,15,Hawaii,1501,1,Hawaii District 01,HI-01,Ed Case,Brian Schatz,Mazie K. Hirono,06/14/2025,
Federally Qualified Health Center (FQHC),H80CS00807,090990,BPS-H80-036841,Nanaikapono Elementary School,89-153 Mano Ave,Waianae,HI,96792-4036,808-697-3457,,35.0,2,School,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,06/28/2023,"WAIANAE DISTRICT COMPREHENSIVE HEALTH AND HOSPITAL BOARD, INCORPORATED",86-260 Farrington Hwy,Waianae,HI,96792-3128,"Corporate Entity, Federal Tax Exempt",-158.14243129,21.38421233,N,N,15003,Honolulu County,Honolulu,County            ,09,Region 9,15,Hawaii,1502,2,Hawaii District 02,HI-02,Jill N. Tokuda,Brian Schatz,Mazie K. Hirono,06/14/2025,
Federally Qualified Health Center (FQHC),H80CS06640,0924640,BPS-H80-036102,Kea'au Family Health and Dental,16-192 Pili Mua St,Keaau,HI,96749-8134,808-333-3600,,50.0,7,All Other Clinic Types,1,Active,121829,1104874619.0,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,07/01/2022,WEST HAWAII COMMUNITY HEALTH CENTER INC,75-5751 Kuakini Hwy,Kailua Kona,HI,96740-1735,"Corporate Entity, Federal Tax Exempt",-155.03963622,19.62043229,N,N,15001,Hawaii County,Hawaii,County            ,09,Region 9,15,Hawaii,1502,2,Hawaii District 02,HI-02,Jill N. Tokuda,Brian Schatz,Mazie K. Hirono,06/14/2025,
Federally Qualified Health Center (FQHC),H80CS00814,096010,BPS-H80-002105,KPHC DOWNTOWN,89 S King St,Honolulu,HI,96813-4315,808-792-5566,www.kphc.org,40.0,7,All Other Clinic Types,1,Active,121835,1669644068.0,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,06/18/2007,KALIHI PALAMA HEALTH CENTER,915 N King St,Honolulu,HI,96817-4544,"Corporate Entity, Federal Tax Exempt",-157.86226073,21.30937635,N,N,15003,Honolulu County,Honolulu,County            ,09,Region 9,15,Hawaii,1501,1,Hawaii District 01,HI-01,Ed Case,Brian Schatz,Mazie K. Hirono,06/14/2025,
Federally Qualified Health Center (FQHC),H80CS02449,0912120,BPS-H80-029654,"Molokai Community Health Center, Building #4, Medical Department",30 Oki Pl,Kaunakakai,HI,96748,808-553-5038,,45.0,7,All Other Clinic Types,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,09/27/2019,MOLOKAI OHANA HEALTH CARE INC,30 Oki Pl,Kaunakakai,HI,96748,"Corporate Entity, Federal Tax Exempt",-157.01841045,21.08636484,N,N,15009,Maui County,Maui,County            ,09,Region 9,15,Hawaii,1502,2,Hawaii District 02,HI-02,Jill N. Tokuda,Brian Schatz,Mazie K. Hirono,06/14/2025,
Federally Qualified Health Center (FQHC),H80CS00053,092060,BPS-H80-006488,Waikiki Health Youth Outreach,415 Keoniana St,Honolulu,HI,96815-2018,808-537-8438,www.waikikihc.org,20.0,7,All Other Clinic Types,1,Active,121823,1063668473.0,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,2,Part-Time,1,Year-Round,01/09/1991,WAIKIKI HEALTH,277 Ohua Ave,Honolulu,HI,96815-6612,"Corporate Entity, Federal Tax Exempt",-157.83204707,21.28517578,N,N,15003,Honolulu County,Honolulu,County            ,09,Region 9,15,Hawaii,1501,1,Hawaii District 01,HI-01,Ed Case,Brian Schatz,Mazie K. Hirono,06/14/2025,
Federally Qualified Health Center (FQHC),H80CS00814,096010,BPS-H80-006573,KOHOU CLINIC,904 Kohou St,Honolulu,HI,96817-4420,808-791-6370,www.kphc.org,40.0,7,All Other Clinic Types,1,Active,,,1,Permanent,3,Administrative/Service Delivery Site,1,Health Center/Applicant,2,Part-Time,1,Year-Round,01/01/2001,KALIHI PALAMA HEALTH CENTER,915 N King St,Honolulu,HI,96817-4544,"Corporate Entity, Federal Tax Exempt",-157.8704672,21.32419199,N,N,15003,Honolulu County,Honolulu,County            ,09,Region 9,15,Hawaii,1501,1,Hawaii District 01,HI-01,Ed Case,Brian Schatz,Mazie K. Hirono,06/14/2025,
Federally Qualified Health Center (FQHC),H80CS02449,0912120,BPS-H80-028308,"Molokai Community Health Center, Building #3, Administrative Department",30 Oki Pl,Kaunakakai,HI,96748,808-553-5038,,40.0,7,All Other Clinic Types,1,Active,,,1,Permanent,1,Administrative,1,Health Center/Applicant,0,Unknown,0,Unknown,09/04/2019,MOLOKAI OHANA HEALTH CARE INC,30 Oki Pl,Kaunakakai,HI,96748,"Corporate Entity, Federal Tax Exempt",-157.01841045,21.08636484,N,N,15009,Maui County,Maui,County            ,09,Region 9,15,Hawaii,1502,2,Hawaii District 02,HI-02,Jill N. Tokuda,Brian Schatz,Mazie K. Hirono,06/14/2025,
Federally Qualified Health Center (FQHC),H80CS00807,090990,BPS-H80-021663,Nanakuli High & Intermediate School,89-980 Nanakuli Ave,Waianae,HI,96792-3999,808-697-3457,,35.0,2,School,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,01/22/2018,"WAIANAE DISTRICT COMPREHENSIVE HEALTH AND HOSPITAL BOARD, INCORPORATED",86-260 Farrington Hwy,Waianae,HI,96792-3128,"Corporate Entity, Federal Tax Exempt",-158.13344606,21.38556504,N,N,15003,Honolulu County,Honolulu,County            ,09,Region 9,15,Hawaii,1502,2,Hawaii District 02,HI-02,Jill N. Tokuda,Brian Schatz,Mazie K. Hirono,06/14/2025,
Federally Qualified Health Center (FQHC),H80CS06640,0924640,BPS-H80-021937,WHCHC -- Waikoloa Family Dental,"68-1845 Waikoloa Rd, Ste 205",Waikoloa,HI,96738-5581,808-657-0844,www.westhawaiichc.org,38.0,7,All Other Clinic Types,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,03/26/2018,WEST HAWAII COMMUNITY HEALTH CENTER INC,75-5751 Kuakini Hwy,Kailua Kona,HI,96740-1735,"Corporate Entity, Federal Tax Exempt",-155.78762838,19.92687894,N,N,15001,Hawaii County,Hawaii,County            ,09,Region 9,15,Hawaii,1502,2,Hawaii District 02,HI-02,Jill N. Tokuda,Brian Schatz,Mazie K. Hirono,06/14/2025,
Federally Qualified Health Center (FQHC),H80CS00776,093410,BPS-H80-029749,Mobile Clinic 2,2239 N School St,Honolulu,HI,96819-2539,808-791-9400,www.kkv.net,30.0,2,School,1,Active,121871,1952994238.0,5,Mobile Van,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,09/18/2019,KOKUA KALIHI VALLEY (COMPREHENSIVE FAMILY SERVICES),2239 N School St,Honolulu,HI,96819-2539,"Corporate Entity, Federal Tax Exempt",-157.87439672,21.34081414,N,N,15003,Honolulu County,Honolulu,County            ,09,Region 9,15,Hawaii,1501,1,Hawaii District 01,HI-01,Ed Case,Brian Schatz,Mazie K. Hirono,06/14/2025,
Federally Qualified Health Center (FQHC),H80CS00053,092060,BPS-H80-010571,Waikiki Health PATH,845 22nd Ave BLDG 5,Honolulu,HI,96816-4521,808-922-4787,www.waikikihc.org,42.5,7,All Other Clinic Types,1,Active,121846,1528359791.0,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,05/25/2011,WAIKIKI HEALTH,277 Ohua Ave,Honolulu,HI,96815-6612,"Corporate Entity, Federal Tax Exempt",-157.79188509,21.27203241,N,N,15003,Honolulu County,Honolulu,County            ,09,Region 9,15,Hawaii,1501,1,Hawaii District 01,HI-01,Ed Case,Brian Schatz,Mazie K. Hirono,06/14/2025,
Federally Qualified Health Center (FQHC),H80CS00852,091290,BPS-H80-021238,HLH Administration,2975 Haleko Rd STE 308,Lihue,HI,96766-1366,808-240-0113,,,7,All Other Clinic Types,1,Active,,,1,Permanent,1,Administrative,1,Health Center/Applicant,0,Unknown,0,Unknown,10/05/2017,HO-OLA LAHUI HAWAII INC,"4491 Rice St, Ste 106",Lihue,HI,96766-1805,"Corporate Entity, Federal Tax Exempt",-159.37008825,21.97462097,N,N,15007,Kauai County,Kauai,County            ,09,Region 9,15,Hawaii,1502,2,Hawaii District 02,HI-02,Jill N. Tokuda,Brian Schatz,Mazie K. Hirono,06/14/2025,
Federally Qualified Health Center (FQHC),H80CS00807,090990,BPS-H80-016815,Waianae Vision Care,86-120 Farrington Hwy STE C301,Waianae,HI,96792-3072,808-696-7021,www.wcchc.com,50.0,7,All Other Clinic Types,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,07/31/2015,"WAIANAE DISTRICT COMPREHENSIVE HEALTH AND HOSPITAL BOARD, INCORPORATED",86-260 Farrington Hwy,Waianae,HI,96792-3128,"Corporate Entity, Federal Tax Exempt",-158.18494045,21.43596392,N,N,15003,Honolulu County,Honolulu,County            ,09,Region 9,15,Hawaii,1502,2,Hawaii District 02,HI-02,Jill N. Tokuda,Brian Schatz,Mazie K. Hirono,06/14/2025,
Federally Qualified Health Center (FQHC),H80CS00807,090990,BPS-H80-039731,Dental Mobile Clinic Van #3,86-260 Farrington Hwy,Waianae,HI,96792-3128,808-697-3457,,8.0,2,School,1,Active,,,5,Mobile Van,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,01/26/2025,"WAIANAE DISTRICT COMPREHENSIVE HEALTH AND HOSPITAL BOARD, INCORPORATED",86-260 Farrington Hwy,Waianae,HI,96792-3128,"Corporate Entity, Federal Tax Exempt",-158.180635,21.42935638,N,N,15003,Honolulu County,Honolulu,County            ,09,Region 9,15,Hawaii,1502,2,Hawaii District 02,HI-02,Jill N. Tokuda,Brian Schatz,Mazie K. Hirono,06/14/2025,
Federally Qualified Health Center (FQHC),H80CS00776,093410,BPS-H80-006873,HAUIKI HOMES PUBLIC HOUSING,1574 Meyers St,Honolulu,HI,96819-2513,808-848-6687,www.kkv.net,5.0,7,All Other Clinic Types,1,Active,,,1,Permanent,3,Administrative/Service Delivery Site,1,Health Center/Applicant,2,Part-Time,1,Year-Round,12/15/1995,KOKUA KALIHI VALLEY (COMPREHENSIVE FAMILY SERVICES),2239 N School St,Honolulu,HI,96819-2539,"Corporate Entity, Federal Tax Exempt",-157.87745901,21.34426082,N,N,15003,Honolulu County,Honolulu,County            ,09,Region 9,15,Hawaii,1501,1,Hawaii District 01,HI-01,Ed Case,Brian Schatz,Mazie K. Hirono,06/14/2025,
Federally Qualified Health Center (FQHC),H80CS06640,0924640,BPS-H80-031859,WHCHC -- Kealakekua Family Heath and Dental Clinic,81-980 Halekii St STE 108,Kealakekua,HI,96750-8177,808-322-0420,,40.0,7,All Other Clinic Types,1,Active,121879,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,12/30/2020,WEST HAWAII COMMUNITY HEALTH CENTER INC,75-5751 Kuakini Hwy,Kailua Kona,HI,96740-1735,"Corporate Entity, Federal Tax Exempt",-155.92179918,19.51851681,N,N,15001,Hawaii County,Hawaii,County            ,09,Region 9,15,Hawaii,1502,2,Hawaii District 02,HI-02,Jill N. Tokuda,Brian Schatz,Mazie K. Hirono,06/14/2025,
Federally Qualified Health Center (FQHC),H80CS06640,0924640,BPS-H80-035055,WHCHC Honaunau SBHC,83-5360 Mamalahoa Hwy,Captain Cook,HI,96704-8302,808-326-5629,www.westhawaiichc.org,16.0,2,School,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,05/01/2022,WEST HAWAII COMMUNITY HEALTH CENTER INC,75-5751 Kuakini Hwy,Kailua Kona,HI,96740-1735,"Corporate Entity, Federal Tax Exempt",-155.87974013,19.45057998,N,N,15001,Hawaii County,Hawaii,County            ,09,Region 9,15,Hawaii,1502,2,Hawaii District 02,HI-02,Jill N. Tokuda,Brian Schatz,Mazie K. Hirono,06/14/2025,
Federally Qualified Health Center (FQHC) Look-Alike,LALCS31600,09E01287,BPS-LAL-038414,Wahiawa Health - Ka'ala Elementary School,130 California Ave,Wahiawa,HI,96786-1554,808-622-6366,,14.0,2,School,1,Active,,,2,Seasonal,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,03/15/2024,THE WAHIAWA CENTER FOR COMMUNITY HEALTH,302 CALIFORNIA AVE STE 106A,WAHIAWA,HI,96786,,-158.03632235,21.49335841,N,N,15003,Honolulu County,Honolulu,County            ,09,Region 9,15,Hawaii,1502,2,Hawaii District 02,HI-02,Jill N. Tokuda,Brian Schatz,Mazie K. Hirono,06/14/2025,
Federally Qualified Health Center (FQHC),H80CS06640,0924640,BPS-H80-036101,Hilo Family Health Center,1178 Kinoole St,Hilo,HI,96720-7206,808-333-3600,,50.0,7,All Other Clinic Types,1,Active,121804,1225086887.0,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,07/01/2022,WEST HAWAII COMMUNITY HEALTH CENTER INC,75-5751 Kuakini Hwy,Kailua Kona,HI,96740-1735,"Corporate Entity, Federal Tax Exempt",-155.07961774,19.71038499,N,N,15001,Hawaii County,Hawaii,County            ,09,Region 9,15,Hawaii,1502,2,Hawaii District 02,HI-02,Jill N. Tokuda,Brian Schatz,Mazie K. Hirono,06/14/2025,
Federally Qualified Health Center (FQHC),H80CS00776,093410,BPS-H80-004618,KOKUA KALIHI VALLEY MAIN CLINIC,2239 N School St,Honolulu,HI,96819-2539,808-791-9400,www.kkv.net,60.0,7,All Other Clinic Types,1,Active,121800,1114074622.0,1,Permanent,3,Administrative/Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,12/15/2001,KOKUA KALIHI VALLEY (COMPREHENSIVE FAMILY SERVICES),2239 N School St,Honolulu,HI,96819-2539,"Corporate Entity, Federal Tax Exempt",-157.87439672,21.34081414,N,N,15003,Honolulu County,Honolulu,County            ,09,Region 9,15,Hawaii,1501,1,Hawaii District 01,HI-01,Ed Case,Brian Schatz,Mazie K. Hirono,06/14/2025,
Federally Qualified Health Center (FQHC),H80CS00852,091290,BPS-H80-038576,Admin 301,"2975 Haleko Rd, Ste 301",Lihue,HI,96766-1366,808-240-0100,,,0,Unknown,1,Active,,,1,Permanent,1,Administrative,1,Health Center/Applicant,0,Unknown,0,Unknown,04/25/2024,HO-OLA LAHUI HAWAII INC,"4491 Rice St, Ste 106",Lihue,HI,96766-1805,"Corporate Entity, Federal Tax Exempt",-159.37005606,21.9746022,N,N,15007,Kauai County,Kauai,County            ,09,Region 9,15,Hawaii,1502,2,Hawaii District 02,HI-02,Jill N. Tokuda,Brian Schatz,Mazie K. Hirono,06/14/2025,
Federally Qualified Health Center (FQHC),H80CS00852,091290,BPS-H80-021241,HLH Administration,2975 Haleko Rd STE 305A,Lihue,HI,96766-1366,808-240-0113,,,7,All Other Clinic Types,1,Active,,,1,Permanent,1,Administrative,1,Health Center/Applicant,0,Unknown,0,Unknown,10/05/2017,HO-OLA LAHUI HAWAII INC,"4491 Rice St, Ste 106",Lihue,HI,96766-1805,"Corporate Entity, Federal Tax Exempt",-159.37008825,21.97462097,N,N,15007,Kauai County,Kauai,County            ,09,Region 9,15,Hawaii,1502,2,Hawaii District 02,HI-02,Jill N. Tokuda,Brian Schatz,Mazie K. Hirono,06/14/2025,
Federally Qualified Health Center (FQHC),H80CS06640,0924640,BPS-H80-036099,HICHC Mobile Health,15-2866 Pahoa Village Rd,Pahoa,HI,96778-7720,808-333-3600,,9.0,7,All Other Clinic Types,1,Active,121841,1952548638.0,5,Mobile Van,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,07/01/2022,WEST HAWAII COMMUNITY HEALTH CENTER INC,75-5751 Kuakini Hwy,Kailua Kona,HI,96740-1735,"Corporate Entity, Federal Tax Exempt",-154.94890967,19.49510251,N,N,15001,Hawaii County,Hawaii,County            ,09,Region 9,15,Hawaii,1502,2,Hawaii District 02,HI-02,Jill N. Tokuda,Brian Schatz,Mazie K. Hirono,06/14/2025,
Federally Qualified Health Center (FQHC),H80CS06640,0924640,BPS-H80-037355,Konawaena High School,81-1043 Konawaena School Rd,Kealakekua,HI,96750-8121,808-326-5629,www.hicommunityhealthcenter.org,40.0,2,School,1,Active,,,2,Seasonal,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,09/01/2023,WEST HAWAII COMMUNITY HEALTH CENTER INC,75-5751 Kuakini Hwy,Kailua Kona,HI,96740-1735,"Corporate Entity, Federal Tax Exempt",-155.91509986,19.50943615,N,N,15001,Hawaii County,Hawaii,County            ,09,Region 9,15,Hawaii,1502,2,Hawaii District 02,HI-02,Jill N. Tokuda,Brian Schatz,Mazie K. Hirono,06/14/2025,
